"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","16,003.7","15,183.6","16,003.7","15,089.9","823.89K","6.89%"
"12/30/2021","14,972.7","14,972.7","14,972.7","14,761.8","654.67K","6.86%"
"12/29/2021","14,012.0","14,012.0","14,012.0","14,012.0","72.55K","6.98%"
"12/28/2021","13,098.2","12,278.1","13,098.2","12,278.1","693.30K","6.88%"
"12/27/2021","12,254.7","12,325.0","12,325.0","12,231.2","100.08K","0.19%"
"12/24/2021","12,231.2","12,231.2","12,231.2","11,903.2","116.51K","0.38%"
"12/23/2021","12,184.4","12,090.7","12,184.4","11,622.0","169.43K","0.19%"
"12/22/2021","12,160.9","12,348.4","12,348.4","11,809.5","144.68K","-0.95%"
"12/21/2021","12,278.1","12,301.5","12,301.5","11,950.1","93.46K","-0.19%"
"12/20/2021","12,301.5","12,278.1","12,301.5","12,184.4","49.72K","0.96%"
"12/17/2021","12,184.4","12,114.1","12,395.3","11,903.2","184.15K","0.58%"
"12/16/2021","12,114.1","12,137.5","12,137.5","11,715.8","142.97K","-0.19%"
"12/15/2021","12,137.5","11,926.6","12,137.5","11,575.2","272.50K","0.39%"
"12/14/2021","12,090.7","12,114.1","12,160.9","11,575.2","142.54K","-0.19%"
"12/13/2021","12,114.1","11,996.9","12,184.4","11,434.6","277.83K","0.98%"
"12/10/2021","11,996.9","12,090.7","12,114.1","11,715.8","100.72K","-0.78%"
"12/09/2021","12,090.7","11,903.2","12,090.7","11,739.2","160.04K","1.78%"
"12/08/2021","11,879.8","11,856.3","11,950.1","11,715.8","96.45K","0.00%"
"12/07/2021","11,879.8","11,856.3","11,950.1","11,668.9","48.65K","0.20%"
"12/06/2021","11,856.3","11,715.8","11,950.1","11,481.4","189.28K","-0.78%"
"12/03/2021","11,950.1","12,278.1","12,278.1","11,715.8","242.62K","-2.67%"
"12/02/2021","12,278.1","12,278.1","12,371.8","12,160.9","93.46K","-0.38%"
"12/01/2021","12,325.0","12,090.7","12,371.8","11,996.9","80.87K","1.35%"
