"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","25,500.0","26,300.0","26,650.0","25,450.0","2.79M","-0.58%"
"12/30/2021","25,650.0","24,800.0","25,650.0","24,500.0","3.58M","6.88%"
"12/29/2021","24,000.0","23,050.0","24,400.0","22,600.0","2.38M","4.35%"
"12/28/2021","23,000.0","23,400.0","23,400.0","22,900.0","1.72M","-0.86%"
"12/27/2021","23,200.0","23,850.0","23,850.0","23,000.0","679.00K","-0.43%"
"12/24/2021","23,300.0","22,900.0","23,600.0","22,550.0","1.16M","1.75%"
"12/23/2021","22,900.0","23,900.0","23,900.0","22,350.0","3.22M","-4.58%"
"12/22/2021","24,000.0","24,400.0","24,800.0","23,600.0","2.21M","-1.64%"
"12/21/2021","24,400.0","25,000.0","25,000.0","24,350.0","1.37M","-2.40%"
"12/20/2021","25,000.0","24,700.0","25,500.0","24,450.0","2.48M","1.63%"
"12/17/2021","24,600.0","23,700.0","24,600.0","23,400.0","1.99M","5.13%"
"12/16/2021","23,400.0","23,900.0","24,300.0","23,200.0","2.23M","-2.09%"
"12/15/2021","23,900.0","24,300.0","24,400.0","23,900.0","1.82M","-2.05%"
"12/14/2021","24,400.0","25,000.0","25,000.0","24,200.0","1.53M","-1.21%"
"12/13/2021","24,700.0","24,400.0","25,400.0","24,100.0","1.69M","1.23%"
"12/10/2021","24,400.0","25,000.0","25,000.0","24,200.0","1.63M","-2.40%"
"12/09/2021","25,000.0","24,200.0","25,000.0","24,200.0","1.56M","1.83%"
"12/08/2021","24,550.0","24,500.0","24,800.0","24,200.0","2.24M","0.20%"
"12/07/2021","24,500.0","24,000.0","24,500.0","22,500.0","2.69M","4.26%"
"12/06/2021","23,500.0","25,150.0","25,300.0","23,500.0","3.86M","-6.93%"
"12/03/2021","25,250.0","27,050.0","27,200.0","25,250.0","6.29M","-6.83%"
"12/02/2021","27,100.0","27,600.0","27,950.0","27,100.0","2.10M","-2.17%"
"12/01/2021","27,700.0","27,300.0","27,800.0","27,100.0","1.85M","0.00%"
"11/30/2021","27,700.0","27,500.0","28,500.0","27,000.0","4.35M","2.78%"
"11/29/2021","26,950.0","25,200.0","27,100.0","25,000.0","3.41M","3.45%"
"11/26/2021","26,050.0","26,700.0","27,000.0","25,600.0","3.15M","-2.80%"
"11/25/2021","26,800.0","26,200.0","27,500.0","25,500.0","3.58M","1.90%"
"11/24/2021","26,300.0","26,500.0","27,000.0","26,100.0","3.02M","2.53%"
"11/23/2021","25,650.0","23,300.0","25,650.0","23,300.0","3.48M","6.88%"
"11/22/2021","24,000.0","25,200.0","25,900.0","24,000.0","4.82M","-4.00%"
"11/19/2021","25,000.0","26,800.0","27,300.0","23,950.0","8.20M","-2.91%"
"11/18/2021","25,750.0","24,650.0","25,750.0","24,650.0","4.27M","6.85%"
"11/17/2021","24,100.0","23,050.0","24,500.0","22,500.0","4.38M","4.56%"
"11/16/2021","23,050.0","21,000.0","23,500.0","21,000.0","4.80M","3.83%"
"11/15/2021","22,200.0","21,700.0","22,200.0","21,600.0","3.96M","6.99%"
"11/12/2021","20,750.0","19,400.0","20,750.0","19,200.0","6.12M","6.96%"
"11/11/2021","19,400.0","19,500.0","19,850.0","18,800.0","3.92M","0.00%"
"11/10/2021","19,400.0","19,500.0","19,700.0","19,300.0","2.10M","0.26%"
"11/09/2021","19,350.0","19,750.0","19,750.0","19,250.0","3.04M","-2.03%"
"11/08/2021","19,750.0","19,250.0","20,000.0","19,200.0","4.03M","2.86%"
"11/05/2021","19,200.0","19,600.0","19,850.0","19,050.0","2.87M","-0.52%"
"11/04/2021","19,300.0","18,500.0","19,450.0","18,050.0","4.36M","6.04%"
"11/03/2021","18,200.0","19,350.0","19,500.0","18,200.0","4.06M","-4.46%"
"11/02/2021","19,050.0","18,900.0","19,200.0","18,600.0","3.40M","2.97%"
"11/01/2021","18,500.0","17,900.0","18,500.0","17,500.0","6.58M","5.71%"
"10/29/2021","17,500.0","17,800.0","17,800.0","17,200.0","2.52M","0.29%"
"10/28/2021","17,450.0","17,300.0","17,900.0","17,300.0","3.99M","1.45%"
"10/27/2021","17,200.0","16,900.0","17,400.0","16,750.0","3.52M","2.08%"
"10/26/2021","16,850.0","16,700.0","17,000.0","16,500.0","1.20M","0.30%"
"10/25/2021","16,800.0","16,850.0","17,000.0","16,700.0","1.70M","0.60%"
"10/22/2021","16,700.0","16,900.0","16,900.0","16,650.0","2.51M","-1.18%"
"10/21/2021","16,900.0","17,100.0","17,300.0","16,750.0","1.50M","0.00%"
"10/20/2021","16,900.0","16,900.0","17,100.0","16,700.0","2.79M","-0.29%"
"10/19/2021","16,950.0","17,100.0","17,350.0","16,850.0","1.79M","-0.88%"
"10/18/2021","17,100.0","17,200.0","17,800.0","16,750.0","6.17M","-2.29%"
"10/15/2021","17,500.0","17,700.0","17,900.0","17,300.0","3.52M","0.00%"
"10/14/2021","17,500.0","17,000.0","17,700.0","17,000.0","2.63M","1.74%"
"10/13/2021","17,200.0","17,600.0","17,850.0","17,150.0","1.96M","-1.43%"
"10/12/2021","17,450.0","17,300.0","18,000.0","17,250.0","5.43M","2.35%"
"10/11/2021","17,050.0","16,800.0","17,250.0","16,650.0","3.12M","2.10%"
"10/08/2021","16,700.0","16,800.0","17,000.0","16,600.0","1.28M","-0.60%"
"10/07/2021","16,800.0","16,750.0","17,100.0","16,450.0","2.12M","0.30%"
"10/06/2021","16,750.0","16,900.0","17,150.0","16,650.0","1.35M","-0.89%"
"10/05/2021","16,900.0","16,100.0","16,950.0","15,950.0","3.06M","6.62%"
"10/04/2021","15,850.0","16,000.0","16,200.0","15,500.0","1.95M","-1.25%"
"10/01/2021","16,050.0","16,100.0","16,500.0","16,000.0","1.53M","-0.93%"
"09/30/2021","16,200.0","16,500.0","16,550.0","16,200.0","1.03M","-0.61%"
"09/29/2021","16,300.0","16,400.0","16,400.0","16,050.0","1.02M","-0.91%"
"09/28/2021","16,450.0","15,600.0","16,500.0","15,600.0","1.32M","2.81%"
"09/27/2021","16,000.0","16,600.0","16,850.0","16,000.0","2.15M","-4.76%"
"09/24/2021","16,800.0","17,100.0","17,100.0","16,700.0","1.35M","-1.18%"
"09/23/2021","17,000.0","17,450.0","17,500.0","16,900.0","2.86M","0.00%"
"09/22/2021","17,000.0","16,700.0","17,150.0","16,600.0","2.45M","2.10%"
"09/21/2021","16,650.0","16,500.0","16,850.0","16,300.0","2.44M","-2.06%"
"09/20/2021","17,000.0","17,300.0","17,600.0","16,800.0","2.85M","-0.58%"
"09/17/2021","17,100.0","16,600.0","17,200.0","16,600.0","2.91M","3.95%"
"09/16/2021","16,450.0","16,600.0","16,650.0","16,350.0","1.34M","-0.30%"
"09/15/2021","16,500.0","16,000.0","16,800.0","15,950.0","1.98M","1.54%"
"09/14/2021","16,250.0","16,650.0","16,700.0","16,150.0","2.96M","-2.99%"
"09/13/2021","16,750.0","17,150.0","17,150.0","16,450.0","3.19M","-2.33%"
"09/10/2021","17,150.0","17,500.0","17,550.0","17,150.0","2.08M","-0.87%"
"09/09/2021","17,300.0","17,000.0","17,400.0","16,900.0","2.22M","0.87%"
"09/08/2021","17,150.0","17,700.0","17,700.0","16,900.0","2.96M","-1.72%"
"09/07/2021","17,450.0","17,900.0","18,200.0","17,300.0","4.06M","-2.51%"
"09/06/2021","17,900.0","17,200.0","17,900.0","16,900.0","5.61M","6.87%"
"09/01/2021","16,750.0","16,400.0","16,900.0","16,200.0","2.80M","1.52%"
"08/31/2021","16,500.0","17,050.0","17,200.0","16,500.0","3.28M","-1.79%"
"08/30/2021","16,800.0","16,900.0","17,000.0","16,600.0","3.60M","1.20%"
"08/27/2021","16,600.0","16,150.0","16,600.0","15,650.0","3.15M","2.79%"
"08/26/2021","16,150.0","16,400.0","17,000.0","16,050.0","3.43M","-2.12%"
"08/25/2021","16,500.0","16,150.0","16,500.0","15,600.0","3.13M","1.23%"
"08/24/2021","16,300.0","17,900.0","18,200.0","16,000.0","6.65M","-5.23%"
"08/23/2021","17,200.0","16,100.0","17,200.0","15,800.0","9.27M","6.83%"
"08/20/2021","16,100.0","16,100.0","16,750.0","15,200.0","8.02M","0.94%"
"08/19/2021","15,950.0","15,000.0","15,950.0","14,850.0","6.25M","6.33%"
"08/18/2021","15,000.0","14,700.0","15,400.0","14,600.0","3.70M","0.67%"
"08/17/2021","14,900.0","15,300.0","15,300.0","14,750.0","3.09M","-2.61%"
"08/16/2021","15,300.0","14,800.0","15,300.0","14,600.0","4.74M","6.99%"
"08/13/2021","14,300.0","13,950.0","14,350.0","13,850.0","2.92M","2.14%"
"08/12/2021","14,000.0","13,900.0","14,400.0","13,800.0","2.85M","-1.41%"
"08/11/2021","14,200.0","14,400.0","14,600.0","14,150.0","2.29M","-1.39%"
"08/10/2021","14,400.0","14,600.0","14,900.0","14,250.0","2.27M","0.00%"
"08/09/2021","14,400.0","13,800.0","14,450.0","13,800.0","3.77M","2.49%"
"08/06/2021","14,050.0","14,450.0","14,450.0","14,050.0","2.63M","-2.43%"
"08/05/2021","14,400.0","14,100.0","14,500.0","13,900.0","2.45M","1.41%"
"08/04/2021","14,200.0","14,300.0","14,450.0","14,050.0","4.20M","1.43%"
"08/03/2021","14,000.0","13,700.0","14,200.0","13,500.0","4.03M","5.26%"
"08/02/2021","13,300.0","13,200.0","13,500.0","13,150.0","2.19M","0.00%"
"07/30/2021","13,300.0","13,500.0","13,500.0","13,150.0","2.35M","1.14%"
"07/29/2021","13,150.0","12,350.0","13,150.0","12,350.0","4.65M","6.91%"
"07/28/2021","12,300.0","12,300.0","12,450.0","12,200.0","812.70K","0.00%"
"07/27/2021","12,300.0","12,300.0","12,500.0","12,200.0","1.23M","1.23%"
"07/26/2021","12,150.0","12,000.0","12,300.0","11,850.0","1.52M","-0.41%"
"07/23/2021","12,200.0","12,250.0","12,500.0","12,200.0","1.64M","-2.40%"
"07/22/2021","12,500.0","12,400.0","12,650.0","12,200.0","1.11M","0.81%"
"07/21/2021","12,400.0","12,700.0","12,950.0","12,300.0","1.11M","-2.36%"
"07/20/2021","12,700.0","11,750.0","12,700.0","11,500.0","2.19M","6.72%"
"07/19/2021","11,900.0","12,050.0","12,400.0","11,900.0","2.62M","-6.67%"
"07/16/2021","12,750.0","13,100.0","13,200.0","12,700.0","1.54M","-2.67%"
"07/15/2021","13,100.0","12,050.0","13,150.0","12,050.0","1.98M","6.50%"
