Date,Price,Open,High,Low,Vol.,Change %
7/1/2021,2955.00,2996.00,2996.00,2886.00,0.40K,0.41%
7/4/2021,2955.00,2955.00,2955.00,2955.00,0.06K,0.00%
7/5/2021,2951.00,2950.00,2951.00,2950.00,0.18K,-0.14%
7/6/2021,2863.00,2893.00,2905.00,2766.00,9.88K,-2.98%
7/7/2021,2805.00,2813.00,2813.00,2791.00,3.67K,-2.03%
7/8/2021,2736.00,2805.00,2805.00,2672.00,1.82K,-2.46%
7/11/2021,2737.00,2776.00,2776.00,2737.00,0.00K,0.04%
7/12/2021,2738.00,2778.00,2778.00,2738.00,0.00K,0.04%
7/13/2021,2695.00,2697.00,2697.00,2693.00,0.43K,-1.57%
7/14/2021,2834.00,2694.00,2836.00,2694.00,3.23K,5.16%
7/15/2021,2849.00,2832.00,2850.00,2832.00,2.00K,0.53%
7/19/2021,2793.00,2838.00,2839.00,2712.00,0.55K,-1.97%
7/20/2021,2793.00,2793.00,2793.00,2793.00,0.01K,0.00%
7/21/2021,2797.00,2799.00,2800.00,2758.00,0.92K,0.14%
7/22/2021,2797.00,2797.00,2797.00,2797.00,0.05K,0.00%
7/25/2021,2763.00,2785.00,2785.00,2742.00,0.37K,-1.22%
7/26/2021,2758.00,2750.00,2762.00,2750.00,0.79K,-0.18%
7/27/2021,2703.00,2705.00,2705.00,2702.00,0.50K,-1.99%
7/28/2021,2697.00,2690.00,2698.00,2690.00,0.73K,-0.22%
7/29/2021,2697.00,2697.00,2697.00,2697.00,0.00K,0.00%
8/1/2021,2759.00,2756.00,2761.00,2756.00,0.34K,2.30%
8/2/2021,2803.00,2805.00,2805.00,2781.00,0.24K,1.59%
8/3/2021,2796.00,2799.00,2800.00,2747.00,0.13K,-0.25%
8/4/2021,2796.00,2796.00,2796.00,2796.00,0.15K,0.00%
8/5/2021,2655.00,2742.00,2742.00,2650.00,1.26K,-5.04%
8/8/2021,2700.00,2700.00,2700.00,2700.00,0.09K,1.69%
8/9/2021,2720.00,2720.00,2720.00,2720.00,0.08K,0.74%
8/10/2021,2777.00,2777.00,2777.00,2777.00,0.08K,2.10%
8/11/2021,2806.00,2806.00,2806.00,2806.00,0.08K,1.04%
8/12/2021,2755.00,2751.00,2771.00,2750.00,0.38K,-1.82%
8/15/2021,2692.00,2692.00,2710.00,2692.00,1.72K,-2.29%
8/16/2021,2773.00,2700.00,2849.00,2700.00,0.77K,3.01%
8/17/2021,2843.00,2773.00,2850.00,2755.00,2.26K,2.52%
8/18/2021,2890.00,2880.00,2899.00,2880.00,0.15K,1.65%
8/19/2021,2945.00,2889.00,2982.00,2889.00,3.04K,1.90%
8/22/2021,2982.00,2945.00,2990.00,2906.00,1.31K,1.26%
8/23/2021,3036.00,2996.00,3079.00,2996.00,3.38K,1.81%
8/24/2021,3049.00,3079.00,3096.00,3036.00,1.44K,0.43%
8/25/2021,3077.00,3122.00,3122.00,3025.00,0.49K,0.92%
8/26/2021,3080.00,3083.00,3083.00,3077.00,10.38K,0.10%
8/29/2021,3079.00,3080.00,3080.00,3025.00,0.58K,-0.03%
8/30/2021,3022.00,3025.00,3025.00,3018.00,1.10K,-1.85%
8/31/2021,3035.00,3033.00,3040.00,3033.00,0.13K,0.43%
9/1/2021,3044.00,3064.00,3064.00,3036.00,0.29K,0.30%
9/2/2021,3010.00,3016.00,3016.00,3005.00,0.73K,-1.12%
9/5/2021,3004.00,3005.00,3025.00,3002.00,0.26K,-0.20%
9/9/2021,3030.00,3020.00,3051.00,3020.00,0.82K,0.87%
9/12/2021,3020.00,3035.00,3035.00,3016.00,4.59K,-0.33%
9/13/2021,3130.00,3020.00,3148.00,3020.00,2.54K,3.64%
9/14/2021,3134.00,3139.00,3139.00,3133.00,0.13K,0.13%
9/19/2021,3152.00,3158.00,3158.00,3150.00,0.27K,0.57%
9/22/2021,3201.00,3172.00,3210.00,3172.00,1.28K,1.55%
9/23/2021,3200.00,3202.00,3202.00,3198.00,1.68K,-0.03%
9/26/2021,3200.00,3200.00,3200.00,3200.00,0.02K,0.00%
9/29/2021,3151.00,3151.00,3166.00,3150.00,0.27K,-1.53%
9/30/2021,3122.00,3163.00,3186.00,3122.00,8.45K,-0.92%
10/3/2021,3123.00,3150.00,3150.00,3123.00,0.00K,0.03%
10/4/2021,3100.00,3160.00,3160.00,3100.00,6.07K,-0.74%
10/5/2021,3116.00,3101.00,3158.00,3101.00,0.40K,0.52%
10/6/2021,3085.00,3085.00,3110.00,3083.00,1.24K,-0.99%
10/7/2021,3085.00,3085.00,3085.00,3085.00,0.34K,0.00%
10/10/2021,3146.00,3146.00,3146.00,3146.00,0.07K,1.98%
10/11/2021,3146.00,3146.00,3146.00,3146.00,0.05K,0.00%
10/12/2021,3123.00,3168.00,3170.00,3108.00,0.75K,-0.73%
10/13/2021,3140.00,3140.00,3140.00,3140.00,0.12K,0.54%
10/14/2021,3204.00,3159.00,3240.00,3159.00,2.33K,2.04%
10/17/2021,3290.00,3240.00,3312.00,3240.00,1.40K,2.68%
10/18/2021,3392.00,3310.00,3395.00,3310.00,2.18K,3.10%
10/19/2021,3513.00,3500.00,3581.00,3460.00,13.35K,3.57%
10/20/2021,3607.00,3597.00,3630.00,3531.00,2.10K,2.68%
10/21/2021,3709.00,3620.00,3712.00,3620.00,5.84K,2.83%
10/24/2021,3710.00,3667.00,3770.00,3667.00,6.02K,0.03%
10/25/2021,3707.00,3709.00,3715.00,3698.00,3.13K,-0.08%
10/26/2021,3700.00,3656.00,3715.00,3654.00,0.29K,-0.19%
10/27/2021,3810.00,3700.00,3838.00,3700.00,1.77K,2.97%
10/28/2021,3892.00,3850.00,3900.00,3850.00,0.65K,2.15%
10/31/2021,3821.00,3892.00,3892.00,3820.00,1.91K,-1.82%
11/1/2021,3942.00,3820.00,3976.00,3820.00,3.77K,3.17%
11/2/2021,3991.00,3998.00,4121.00,3970.00,11.27K,1.24%
11/3/2021,3998.00,4051.00,4051.00,3972.00,6.54K,0.18%
11/4/2021,3955.00,4012.00,4012.00,3928.00,2.31K,-1.08%
11/7/2021,3991.00,3991.00,3991.00,3991.00,0.61K,0.91%
11/8/2021,3991.00,3991.00,3991.00,3991.00,0.00K,0.00%
11/9/2021,3929.00,3958.00,3958.00,3912.00,1.59K,-1.55%
11/10/2021,3908.00,3910.00,3973.00,3866.00,0.87K,-0.53%
11/11/2021,3970.00,3921.00,3991.00,3919.00,1.45K,1.59%
11/14/2021,3972.00,4041.00,4041.00,3970.00,5.25K,0.05%
11/15/2021,3912.00,3986.00,3991.00,3900.00,2.08K,-1.51%
11/16/2021,3934.00,3954.00,3963.00,3916.00,1.10K,0.56%
11/17/2021,3977.00,3976.00,3977.00,3976.00,0.20K,1.09%
11/18/2021,3980.00,3980.00,3980.00,3980.00,0.21K,0.08%
11/21/2021,3977.00,3980.00,3980.00,3941.00,0.11K,-0.08%
11/22/2021,3974.00,3977.00,4001.00,3960.00,3.16K,-0.08%
11/23/2021,3892.00,3970.00,3970.00,3869.00,1.11K,-2.06%
11/24/2021,3967.00,3902.00,3992.00,3902.00,0.49K,1.93%
11/25/2021,4078.00,3967.00,4090.00,3967.00,3.62K,2.80%
11/28/2021,4024.00,4047.00,4047.00,3997.00,0.26K,-1.32%
11/29/2021,4050.00,4058.00,4058.00,4036.00,15.12K,0.65%
11/30/2021,4017.00,4070.00,4070.00,3976.00,2.77K,-0.81%
12/1/2021,4016.00,4021.00,4045.00,3958.00,1.04K,-0.02%
12/2/2021,4043.00,4043.00,4057.00,3955.00,1.90K,0.67%
12/5/2021,4070.00,4062.00,4072.00,4062.00,0.81K,0.67%
12/6/2021,4063.00,4052.00,4072.00,4052.00,0.22K,-0.17%
12/7/2021,4083.00,4068.00,4159.00,4065.00,0.36K,0.49%
12/8/2021,4093.00,4140.00,4140.00,4093.00,0.01K,0.24%
12/9/2021,4093.00,4093.00,4093.00,4093.00,0.00K,0.00%
12/12/2021,4170.00,4100.00,4198.00,4100.00,0.93K,1.88%
12/13/2021,4094.00,4094.00,4094.00,4088.00,0.08K,-1.82%
12/14/2021,4094.00,4094.00,4094.00,4094.00,0.02K,0.00%
12/15/2021,4007.00,4043.00,4043.00,4007.00,3.30K,-2.13%
12/16/2021,4009.00,4018.00,4031.00,4007.00,1.70K,0.05%
12/19/2021,4009.00,4009.00,4009.00,4009.00,0.06K,0.00%
12/20/2021,3942.00,3930.00,3960.00,3903.00,0.50K,-1.67%
12/21/2021,3964.00,3980.00,3981.00,3951.00,0.25K,0.56%
12/22/2021,3990.00,3988.00,3990.00,3988.00,2.22K,0.66%
12/23/2021,4018.00,3998.00,4028.00,3996.00,2.87K,0.70%
12/26/2021,4098.00,4077.00,4122.00,4077.00,0.09K,1.99%
12/27/2021,4155.00,4197.00,4197.00,4135.00,0.49K,1.39%
12/28/2021,4180.00,4180.00,4180.00,4174.00,0.89K,0.60%
12/29/2021,4180.00,4180.00,4180.00,4180.00,0.05K,0.00%
12/30/2021,4170.00,4179.00,4185.00,4121.00,1.79K,-0.24%
