"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","47,300.0","47,100.0","47,300.0","46,500.0","969.60K","0.00%"
"12/30/2021","47,300.0","46,050.0","47,600.0","46,050.0","1.41M","2.94%"
"12/29/2021","45,950.0","45,850.0","46,200.0","45,700.0","826.30K","0.44%"
"12/28/2021","45,750.0","45,500.0","46,300.0","45,500.0","1.22M","-0.11%"
"12/27/2021","45,800.0","46,000.0","46,200.0","45,350.0","1.08M","0.11%"
"12/24/2021","45,750.0","46,200.0","46,800.0","45,300.0","2.41M","-1.19%"
"12/23/2021","46,300.0","47,800.0","47,800.0","45,000.0","2.65M","-3.04%"
"12/22/2021","47,750.0","47,650.0","48,600.0","47,600.0","1.46M","0.21%"
"12/21/2021","47,650.0","48,200.0","48,300.0","47,500.0","1.78M","-1.14%"
"12/20/2021","48,200.0","49,300.0","49,300.0","48,100.0","1.91M","-2.23%"
"12/17/2021","49,300.0","49,300.0","49,650.0","49,000.0","1.26M","-0.40%"
"12/16/2021","49,500.0","50,700.0","50,700.0","49,500.0","990.70K","-1.59%"
"12/15/2021","50,300.0","49,000.0","50,900.0","48,950.0","2.45M","3.29%"
"12/14/2021","48,700.0","49,000.0","49,000.0","48,300.0","1.68M","-0.41%"
"12/13/2021","48,900.0","49,000.0","49,150.0","48,500.0","1.45M","0.41%"
"12/10/2021","48,700.0","48,800.0","49,100.0","48,300.0","1.32M","-0.31%"
"12/09/2021","48,850.0","48,500.0","49,000.0","48,500.0","774.40K","-0.20%"
"12/08/2021","48,950.0","48,300.0","49,000.0","48,100.0","946.90K","1.98%"
"12/07/2021","48,000.0","48,300.0","48,300.0","47,300.0","2.09M","1.27%"
"12/06/2021","47,400.0","49,050.0","49,500.0","46,000.0","2.53M","-3.27%"
"12/03/2021","49,000.0","50,000.0","50,400.0","49,000.0","1.86M","-1.71%"
"12/02/2021","49,850.0","49,600.0","50,200.0","49,500.0","1.09M","0.50%"
"12/01/2021","49,600.0","49,800.0","50,000.0","49,300.0","1.23M","-0.40%"
"11/30/2021","49,800.0","50,500.0","51,200.0","49,700.0","2.33M","-0.20%"
"11/29/2021","49,900.0","48,500.0","50,400.0","48,500.0","1.75M","0.91%"
"11/26/2021","49,450.0","51,000.0","51,000.0","49,400.0","2.60M","-3.04%"
"11/25/2021","51,000.0","51,300.0","51,300.0","50,500.0","1.85M","-0.58%"
"11/24/2021","51,300.0","51,200.0","51,400.0","50,600.0","2.36M","0.59%"
"11/23/2021","51,000.0","48,200.0","51,000.0","48,200.0","1.98M","5.92%"
"11/22/2021","48,150.0","49,200.0","49,700.0","47,500.0","5.54M","-3.12%"
"11/19/2021","49,700.0","53,000.0","53,100.0","49,600.0","7.90M","-6.75%"
"11/18/2021","53,300.0","54,400.0","54,400.0","53,200.0","2.83M","-1.66%"
"11/17/2021","54,200.0","55,100.0","55,200.0","54,100.0","2.86M","-1.63%"
"11/16/2021","55,100.0","52,900.0","56,000.0","51,800.0","7.67M","4.16%"
"11/15/2021","52,900.0","52,700.0","53,800.0","52,500.0","3.79M","0.38%"
"11/12/2021","52,700.0","53,000.0","53,300.0","52,000.0","4.57M","-1.50%"
"11/11/2021","53,500.0","53,700.0","54,500.0","53,000.0","4.23M","-1.47%"
"11/10/2021","54,300.0","54,500.0","54,900.0","53,800.0","2.92M","-0.37%"
"11/09/2021","54,500.0","53,200.0","54,900.0","52,800.0","8.32M","4.41%"
"11/08/2021","52,200.0","51,000.0","52,800.0","51,000.0","5.15M","2.35%"
"11/05/2021","51,000.0","51,100.0","51,400.0","50,500.0","2.47M","0.20%"
"11/04/2021","50,900.0","50,800.0","51,500.0","50,200.0","2.75M","0.59%"
"11/03/2021","50,600.0","52,000.0","52,500.0","50,600.0","4.24M","-2.69%"
"11/02/2021","52,000.0","51,600.0","52,300.0","51,500.0","3.91M","0.78%"
"11/01/2021","51,600.0","52,900.0","52,900.0","51,300.0","4.00M","-1.34%"
"10/29/2021","52,300.0","52,600.0","53,200.0","51,700.0","3.81M","0.00%"
"10/28/2021","52,300.0","51,100.0","52,700.0","51,000.0","6.62M","2.35%"
"10/27/2021","51,100.0","50,500.0","51,500.0","50,500.0","4.31M","1.39%"
"10/26/2021","50,400.0","50,000.0","51,000.0","49,350.0","2.02M","0.80%"
"10/25/2021","50,000.0","49,500.0","51,300.0","49,200.0","3.03M","0.60%"
"10/22/2021","49,700.0","50,100.0","50,200.0","49,300.0","3.90M","-0.80%"
"10/21/2021","50,100.0","50,600.0","50,600.0","49,800.0","3.90M","-0.99%"
"10/20/2021","50,600.0","51,500.0","51,700.0","50,100.0","3.27M","-1.75%"
"10/19/2021","51,500.0","51,700.0","52,200.0","51,200.0","2.73M","0.00%"
"10/18/2021","51,500.0","51,000.0","52,500.0","50,900.0","7.10M","1.18%"
"10/15/2021","50,900.0","51,400.0","51,700.0","50,600.0","2.38M","-0.59%"
"10/14/2021","51,200.0","50,500.0","52,000.0","50,300.0","4.93M","1.39%"
"10/13/2021","50,500.0","50,700.0","51,300.0","50,100.0","3.52M","0.00%"
"10/12/2021","50,500.0","51,000.0","51,000.0","50,000.0","4.18M","-0.98%"
"10/11/2021","51,000.0","51,500.0","51,700.0","50,500.0","2.91M","-0.39%"
"10/08/2021","51,200.0","50,000.0","52,000.0","50,000.0","4.97M","3.02%"
"10/07/2021","49,700.0","48,100.0","49,850.0","48,000.0","3.77M","3.54%"
"10/06/2021","48,000.0","48,300.0","48,700.0","47,700.0","2.58M","-0.52%"
"10/05/2021","48,250.0","49,000.0","49,300.0","48,250.0","3.09M","-2.13%"
"10/04/2021","49,300.0","48,700.0","50,300.0","48,700.0","2.61M","1.23%"
"10/01/2021","48,700.0","49,300.0","49,950.0","48,500.0","1.63M","-1.81%"
"09/30/2021","49,600.0","48,750.0","50,200.0","48,700.0","1.23M","1.95%"
"09/29/2021","48,650.0","48,200.0","49,000.0","48,150.0","1.37M","-0.71%"
"09/28/2021","49,000.0","47,300.0","49,050.0","47,000.0","2.00M","2.94%"
"09/27/2021","47,600.0","49,000.0","49,700.0","47,600.0","2.05M","-2.86%"
"09/24/2021","49,000.0","50,000.0","50,200.0","48,000.0","3.74M","-2.39%"
"09/23/2021","50,200.0","50,200.0","50,900.0","49,800.0","2.09M","0.00%"
"09/22/2021","50,200.0","50,100.0","50,400.0","49,700.0","2.26M","0.80%"
"09/21/2021","49,800.0","50,100.0","51,200.0","49,500.0","5.01M","-2.16%"
"09/20/2021","50,900.0","53,000.0","53,000.0","50,800.0","3.82M","-3.23%"
"09/17/2021","52,600.0","53,400.0","53,400.0","52,400.0","1.84M","-0.57%"
"09/16/2021","52,900.0","51,400.0","53,000.0","51,200.0","4.85M","2.92%"
"09/15/2021","51,400.0","51,300.0","52,000.0","51,000.0","1.55M","0.00%"
"09/14/2021","51,400.0","52,200.0","52,500.0","51,000.0","1.92M","-1.15%"
"09/13/2021","52,000.0","51,000.0","52,500.0","49,850.0","4.76M","1.96%"
"09/10/2021","51,000.0","51,600.0","51,700.0","50,800.0","2.03M","-0.78%"
"09/09/2021","51,400.0","51,000.0","51,900.0","50,600.0","2.46M","1.78%"
"09/08/2021","50,500.0","50,800.0","51,900.0","50,200.0","2.84M","-0.59%"
"09/07/2021","50,800.0","52,400.0","52,400.0","50,800.0","6.74M","-3.61%"
