Date,Price,Open,High,Low,Vol.,Change %
7/12/2021,11700.00,11800.00,12000.00,11700.00,951.90K,-7.0%
7/13/2021,12300.00,10900.00,12300.00,10900.00,1.39M,5.0%
7/14/2021,13000.00,12800.00,13000.00,12300.00,1.28M,6.0%
7/15/2021,13200.00,12700.00,13400.00,12700.00,452.20K,2.0%
7/16/2021,12400.00,13300.00,13400.00,12300.00,383.50K,-6.0%
7/19/2021,11550.00,11550.00,12200.00,11550.00,511.90K,-7.0%
7/20/2021,12350.00,11000.00,12350.00,10750.00,459.20K,7.0%
7/21/2021,12800.00,13200.00,13200.00,12600.00,258.40K,4.0%
7/22/2021,12900.00,12500.00,13000.00,12450.00,191.80K,1.0%
7/23/2021,12300.00,12900.00,12900.00,12300.00,181.70K,-5.0%
7/26/2021,12400.00,11600.00,12400.00,11500.00,185.10K,1.0%
7/27/2021,12150.00,11950.00,12500.00,11950.00,173.80K,-2.0%
7/28/2021,11800.00,12150.00,12150.00,11700.00,99.00K,-3.0%
7/29/2021,11750.00,11700.00,12200.00,11600.00,872.90K,0.0%
7/30/2021,11900.00,11750.00,11900.00,11400.00,151.40K,1.0%
8/2/2021,11900.00,11900.00,12100.00,11600.00,247.60K,0.0%
8/3/2021,12000.00,11900.00,12400.00,11850.00,490.00K,1.0%
8/4/2021,11600.00,11600.00,12000.00,11600.00,125.60K,-3.0%
8/5/2021,11700.00,11600.00,11900.00,11600.00,172.00K,1.0%
8/6/2021,11600.00,11800.00,11800.00,11600.00,261.80K,-1.0%
8/9/2021,12400.00,11850.00,12400.00,11600.00,886.00K,7.0%
8/10/2021,13250.00,13250.00,13250.00,13250.00,1.70M,7.0%
8/11/2021,14150.00,14150.00,14150.00,14150.00,223.50K,7.0%
8/12/2021,15100.00,15100.00,15100.00,15100.00,298.10K,7.0%
8/13/2021,16150.00,16150.00,16150.00,15100.00,1.73M,7.0%
8/16/2021,17250.00,17250.00,17250.00,17250.00,106.40K,7.0%
8/17/2021,18450.00,18450.00,18450.00,18250.00,465.20K,7.0%
8/18/2021,19700.00,19700.00,19700.00,19600.00,1.10M,7.0%
8/19/2021,21050.00,20800.00,21050.00,18350.00,1.49M,7.0%
8/20/2021,22500.00,22400.00,22500.00,21500.00,1.08M,7.0%
8/23/2021,24050.00,21150.00,24050.00,21150.00,574.60K,7.0%
8/24/2021,23400.00,25000.00,25400.00,22500.00,516.60K,-3.0%
8/25/2021,25000.00,23000.00,25000.00,21800.00,1.43M,7.0%
8/26/2021,26500.00,25200.00,26600.00,25200.00,773.20K,6.0%
8/27/2021,27000.00,27300.00,27500.00,26500.00,458.40K,2.0%
8/30/2021,28850.00,28500.00,28850.00,27000.00,547.00K,7.0%
8/31/2021,30850.00,30850.00,30850.00,30850.00,123.50K,7.0%
9/1/2021,33000.00,33000.00,33000.00,32900.00,612.60K,7.0%
9/6/2021,35300.00,35300.00,35300.00,35300.00,108.20K,7.0%
9/7/2021,37750.00,37750.00,37750.00,35300.00,680.50K,7.0%
9/8/2021,40350.00,38000.00,40350.00,38000.00,441.60K,7.0%
9/9/2021,43150.00,43150.00,43150.00,43150.00,31.30K,7.0%
9/10/2021,46150.00,46150.00,46150.00,46150.00,637.90K,7.0%
9/13/2021,49350.00,49350.00,49350.00,49350.00,629.00K,7.0%
9/14/2021,52800.00,52800.00,52800.00,52800.00,37.30K,7.0%
9/15/2021,56400.00,56400.00,56400.00,56400.00,80.60K,7.0%
9/16/2021,60300.00,60300.00,60300.00,56500.00,1.34M,7.0%
9/17/2021,64500.00,56100.00,64500.00,56100.00,1.62M,7.0%
9/20/2021,69000.00,69000.00,69000.00,69000.00,368.50K,7.0%
9/21/2021,73800.00,73800.00,73800.00,71000.00,706.40K,7.0%
9/22/2021,74800.00,76000.00,77400.00,70000.00,484.40K,1.0%
9/23/2021,69600.00,73000.00,75000.00,69600.00,647.10K,-7.0%
9/24/2021,64800.00,64800.00,64800.00,64800.00,89.80K,-7.0%
9/27/2021,60300.00,60300.00,60300.00,60300.00,9.80K,-7.0%
9/28/2021,56100.00,56100.00,56100.00,56100.00,3.00K,-7.0%
9/29/2021,52200.00,52200.00,52200.00,52200.00,52.80K,-7.0%
9/30/2021,50800.00,48550.00,54800.00,48550.00,1.98M,-3.0%
10/1/2021,47250.00,50800.00,51000.00,47250.00,483.00K,-7.0%
10/4/2021,43950.00,43950.00,47900.00,43950.00,1.44M,-7.0%
10/5/2021,40900.00,40900.00,40900.00,40900.00,31.00K,-7.0%
10/6/2021,38050.00,38050.00,38050.00,38050.00,57.70K,-7.0%
10/7/2021,35400.00,35400.00,35400.00,35400.00,36.30K,-7.0%
10/8/2021,32950.00,32950.00,32950.00,32950.00,11.60K,-7.0%
10/11/2021,30650.00,30650.00,30650.00,30650.00,16.30K,-7.0%
10/12/2021,28550.00,28550.00,30600.00,28550.00,2.07M,-7.0%
10/13/2021,30500.00,27750.00,30500.00,27500.00,323.20K,7.0%
10/14/2021,32600.00,32600.00,32600.00,32600.00,219.50K,7.0%
10/15/2021,30350.00,34850.00,34850.00,30350.00,1.41M,-7.0%
10/18/2021,28250.00,28500.00,30000.00,28250.00,616.00K,-7.0%
10/19/2021,28900.00,28100.00,29500.00,28100.00,243.20K,2.0%
10/20/2021,26900.00,28900.00,28900.00,26900.00,629.40K,-7.0%
10/21/2021,27000.00,27900.00,27900.00,25050.00,555.80K,0.0%
10/22/2021,27150.00,27800.00,28100.00,26500.00,167.50K,1.0%
10/25/2021,26400.00,27150.00,27150.00,26000.00,270.30K,-3.0%
10/26/2021,25750.00,26400.00,26400.00,25600.00,288.00K,-2.0%
10/27/2021,25500.00,25850.00,26500.00,25450.00,367.60K,-1.0%
10/28/2021,24150.00,25500.00,25500.00,24150.00,452.40K,-5.0%
10/29/2021,23100.00,24000.00,24950.00,23100.00,438.30K,-4.0%
11/1/2021,22650.00,22000.00,23500.00,22000.00,490.50K,-2.0%
11/2/2021,24200.00,22650.00,24200.00,22400.00,311.50K,7.0%
11/3/2021,25850.00,25850.00,25850.00,24200.00,683.50K,7.0%
11/4/2021,25800.00,25800.00,26200.00,24200.00,426.70K,0.0%
11/5/2021,26000.00,25600.00,26500.00,24900.00,236.90K,1.0%
11/8/2021,25100.00,25000.00,26100.00,25000.00,484.80K,-3.0%
11/9/2021,24200.00,25150.00,25150.00,24200.00,370.50K,-4.0%
11/10/2021,24300.00,24050.00,25500.00,23600.00,162.50K,0.0%
11/11/2021,23600.00,24300.00,24300.00,23500.00,322.70K,-3.0%
11/12/2021,24250.00,23150.00,24500.00,22800.00,409.80K,3.0%
11/15/2021,24400.00,24300.00,25200.00,24300.00,284.40K,1.0%
11/16/2021,24200.00,24350.00,24500.00,24000.00,194.30K,-1.0%
11/17/2021,25850.00,24000.00,25850.00,23800.00,379.20K,7.0%
11/18/2021,27650.00,27650.00,27650.00,27650.00,206.70K,7.0%
11/19/2021,29550.00,29550.00,29550.00,27000.00,1.25M,7.0%
11/22/2021,31600.00,31600.00,31600.00,31600.00,154.70K,7.0%
11/23/2021,33800.00,33800.00,33800.00,31300.00,1.32M,7.0%
11/24/2021,31450.00,35900.00,35900.00,31450.00,737.50K,-7.0%
11/25/2021,32500.00,29450.00,33200.00,29450.00,1.27M,3.0%
11/26/2021,30250.00,32450.00,32450.00,30250.00,904.20K,-7.0%
11/29/2021,28150.00,28150.00,28150.00,28150.00,133.90K,-7.0%
11/30/2021,28950.00,26300.00,30100.00,26300.00,1.40M,3.0%
12/1/2021,28200.00,28950.00,28950.00,27050.00,394.70K,-3.0%
12/2/2021,28400.00,28200.00,29300.00,28200.00,217.60K,1.0%
12/3/2021,28500.00,27350.00,29500.00,27300.00,348.00K,0.0%
12/6/2021,28500.00,28050.00,29200.00,27000.00,261.20K,0.0%
12/7/2021,28100.00,28900.00,28900.00,27000.00,99.50K,-1.0%
12/8/2021,28700.00,27200.00,28900.00,27000.00,471.40K,2.0%
12/9/2021,28800.00,28600.00,29000.00,27750.00,164.20K,0.0%
12/10/2021,28300.00,28000.00,28500.00,27800.00,159.80K,-2.0%
12/13/2021,27300.00,28300.00,28300.00,27100.00,120.70K,-4.0%
12/14/2021,25500.00,27500.00,27500.00,25400.00,684.60K,-7.0%
12/15/2021,23750.00,25500.00,25500.00,23750.00,1.29M,-7.0%
12/16/2021,22100.00,23750.00,25400.00,22100.00,1.86M,-7.0%
12/17/2021,23600.00,22300.00,23600.00,22300.00,265.50K,7.0%
